data_id,massdot_id,description,x1,x2,y1,y2,type,showdesc,restriction,nlanes,yr_1999,yr_2010,backbone_rte,awdt_2019,awdt_2010
i90_wb_170, ,I-90 westbound between Interchange 123 off- and on-ramps,7410,7710,120,120,main,0,none,3,1,1,i90_wb,36000,37000
i90_wb_r_160,R50113,Interchange 123 off-ramp | to I-95 and local roads,7710,7685,120,90,ramp_off_above,1,none,2,1,1,i90_wb,26000,23000
i90_wb_160, ,I-90 westbound between Interchanges 125 and 123,7710,8010,120,120,main,0,none,3,1,1,i90_wb,62000,60000
i90_wb_r_150,R11743,Interchange 125 |(old Interchange 16) |off-ramp to  West Newton/SR-16,8010,7985,120,90,ramp_off_above,1,none,1,1,1,i90_wb,11000,11000
i90_wb_150, ,I-90 westbound between Interchanges 128 and 125,8010,8210,120,120,main,0,none,3,1,1,i90_wb,73000,71000
i90_wb_r_140,R11742,Interchange 128 |(old Interchange 17) |on-ramp from Newton Corner,8235,8210,90,120,ramp_on_above,1,none,1,1,1,i90_wb,17500,17000
i90_wb_140, ,I-90 westbound between Interchange 128 off- and on-ramps,8210,8510,120,120,main,0,none,3,1,1,i90_wb,55500,54000
i90_wb_r_130,R11741,Interchange 128 |(old Interchange 17) |off-ramp to Newton Corner,8510,8485,120,90,ramp_off_above,1,none,1,1,1,i90_wb,18500,14000
i90_wb_130, ,I-90 westbound between Interchanges 131 and 128,8510,8710,120,120,main,0,none,4,1,1,i90_wb,74000,68000
i90_wb_r_120,R11740,Interchange 131 |(old Interchange 18) |on-ramp from Cambridge St./Allston-Brighton,8735,8710,90,120,ramp_on_above,1,none,2,1,1,i90_wb,15000,15000
i90_wb_120, ,I-90 westbound between Interchange 131 off- and on-ramps,8710,9010,120,120,main,0,none,3,1,1,i90_wb,59000,53000
i90_wb_r_110,R11739,Interchange 131 off-ramp |(old Interchange 20)| to Cambridge St./Allston-Brighton,9010,8985,120,90,ramp_off_above,1,none,2,1,1,i90_wb,23000,15000
i90_wb_110, ,I-90 westbound between Massachusetts Avenue on-ramp and interchange 131,9010,9210,120,120,main,0,none,4,1,1,i90_wb,82000,68000
i90_wb_r_100,R11738,On-ramp |from Massachusetts Avenue,9235,9210,90,120,ramp_on_above,1,none,1,1,1,i90_wb,8000,6500
i90_wb_100, ,I-90 westbound between Interchange 133 and Massachusetts Avenue on-ramp,9210,9410,120,120,main,0,none,4,1,1,i90_wb,74000,61500
i90_wb_r_090,R11737,Interchange 133 on-ramp |from Prudential Center/Copley Square,9435,9410,90,120,ramp_on_above,1,none,1,1,1,i90_wb,6000,5500
i90_wb_090, ,I-90 westbound between former Clarendon on-ramp and Interchange 133,9410,9610,120,120,main,0,none,4,1,1,i90_wb,68000,55000
i90_wb_r_085,R11736,On-ramp from |Clarendon St. (closed 2019),9635,9610,90,120,ramp_on_above,1,none,1,1,1,i90_wb,0,1000
i90_wb_085, ,I-90 westbound between  Arlington St. and Clarendon St.,9610,9810,120,120,main,0,none,3,1,1,i90_wb,68000,56000
i90_wb_r_080,R11735,On-ramp from |Arlington Street,9835,9810,90,120,ramp_on_above,1,none,1,1,1,i90_wb,5000,6000
i90_wb_080, ,I-90 westbound between Interchange 134 and Arlington St. on-ramp,9810,10010,120,120,main,0,none,3,1,1,i90_wb,63000,50000
i90_wb_r_070,R12123,Interchange 134 |(old Interchange 24) |on-ramp from I-93 SB and local roads,10035,10010,90,120,ramp_on_above,1,none,1,1,1,i90_wb,20000,16000
i90_wb_070, ,I-90 westbound between Interchange 134 on-ramp from I-93 NB and on-ramp from I-93 SB,10010,10310,120,120,main,0,none,2,1,1,i90_wb,43000,34000
i90_wb_r_060,R12086,Interchange 134 |(old Interchange 24) |on-ramp from I-93 NB and local roads,10335,10310,90,120,ramp_on_above,1,none,1,1,1,i90_wb,17000,15500
i90_wb_060, ,I-90 westbound between bus terminal off-ramp and Interchange 134,10310,10610,120,120,main,0,none,2,1,1,i90_wb,26000,18500
i90_wb_r_050,R11734,Off-ramp | to South Station bus terminal,10610,10585,120,90,ramp_off_above,1,none,1,1,1,i90_wb,600,500
i90_wb_050, ,I-90 westbound between Interchange 135 on-ramp from Seaport and off-ramp to bus terminal,10610,10810,120,120,main,0,none,2,1,1,i90_wb,26600,19000
i90_wb_r_040,R11733,Interchange 135 |(old Interchange 25) |on-ramp from Seaport,10835,10810,90,120,ramp_on_above,1,none,1,1,1,i90_wb,7000,5500
i90_wb_r_030, ,Interchange 135 |(old Interchange 25) |off-ramp to Seaport and I-93 NB,11110,11085,120,90,ramp_off_above,1,none,1,1,1,i90_wb,32000,27000
i90_wb_040, ,I-90 westbound between Interchange 135 off- and on-ramps,10810,11110,120,120,main,0,none,2,1,1,i90_wb,19600,13500
i90_wb_030, ,Interchange 135 |(old Interchange 25) |off-ramp to Seaport and I-93 NB,11110,11310,120,120,main,0,none,1,1,1,i90_wb,51600,40500
i90_wb_r_020,R11722,Interchange 137 |(old Interchange 26) |on-ramp from Logan Airport,11335,11310,90,120,ramp_on_above,1,none,2,1,1,i90_wb,29600,24000
i90_wb_020, ,I-90 westbound between Interchange 137 off- and on-ramps,11310,11610,120,120,main,0,none,2,1,1,i90_wb,22000,16500
i90_wb_r_010,R11721,Interchange 137 |(old Interchange 26) |off-ramp to Logan Airport,11610,11585,120,90,ramp_off_above,1,none,1,1,1,i90_wb,7000,10500
i90_wb_010, ,I-90 westbound east of Interchange 137,11610,11810,120,120,main,0,none,2,1,1,i90_wb,29000,27000
